,Unnamed: 0.1,Unnamed: 0,read_code,brand_name,term_description,term,dose,quantity,group,with_calcium_channel_blocker,with_diuretic
0,0.0,0.0,X75lZ,Soprol,Peripheral vasoproliferative retinopathy,Bisoprolol Fumarate,,,beta blockers,False,False
1,1.0,1.0,X77uC,Concor,Discordant ventriculoarterial connection with concordant atrioventricular connection,Bisoprolol Fumarate,,,beta blockers,False,False
2,2.0,2.0,XM04s,Soprol,Vasoproliferative retinopathy,Bisoprolol Fumarate,,,beta blockers,False,False
3,3.0,3.0,Xa5LO,Atenolol,Atenolol sensitivity,Atenolol,,,beta blockers,False,False
4,4.0,4.0,Xa8f7,Concor,Salmonella concord,Bisoprolol Fumarate,,,beta blockers,False,False
5,5.0,5.0,Xa8vy,Kalten,Salmonella kaltenhausen,Atenolol With Diuretic,,,beta blockers,False,False
6,6.0,6.0,XaQDq,Concor,Needs assistance with medication concordance,Bisoprolol Fumarate,,,beta blockers,False,False
7,7.0,7.0,XaQaL,Soprol,Bisoprolol not indicated,Bisoprolol Fumarate,,,beta blockers,False,False
8,8.0,8.0,XaQaM,Carvedilol,Carvedilol not indicated,Carvedilol,,,beta blockers,False,False
9,9.0,9.0,XaQaN,Nebivolol,Nebivolol not indicated,Nebivolol,,,beta blockers,False,False
10,10.0,10.0,XaQaO,Soprol,Bisoprolol not tolerated,Bisoprolol Fumarate,,,beta blockers,False,False
11,11.0,11.0,XaQaP,Carvedilol,Carvedilol not tolerated,Carvedilol,,,beta blockers,False,False
12,12.0,12.0,XaQaQ,Nebivolol,Nebivolol not tolerated,Nebivolol,,,beta blockers,False,False
13,13.0,13.0,bc7..,Practolol,Practolol [antiarrhythmic],Practolol,,,beta blockers,False,False
14,14.0,14.0,bc71.,Eraldin,Eraldin 10mg/5mL injection,Practolol,10 mg/5 ml,,beta blockers,False,False
15,15.0,15.0,bc7z.,Practolol,Practolol 10mg/5mL injection,Practolol,10 mg/5 ml,,beta blockers,False,False
16,16.0,16.0,bd15.,Angilol,Angilol 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
17,17.0,17.0,bd16.,Angilol,Angilol 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
18,18.0,18.0,bd17.,Angilol,Angilol 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
19,19.0,19.0,bd18.,Angilol,Angilol 160mg tablet,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
20,20.0,20.0,bd19.,Apsolol,Apsolol 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
21,21.0,21.0,bd1A.,Propanix,Propanix 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
22,22.0,22.0,bd1B.,Propanix,Propanix 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
23,23.0,23.0,bd1C.,Propanix,Propanix 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
24,24.0,24.0,bd1D.,Propanix,Propanix 160mg tablet,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
25,25.0,25.0,bd1E.,Propanix,Propanix SR 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
26,26.0,26.0,bd1F.,Betadur,Betadur CR 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
27,27.0,27.0,bd1G.,Beta-Prograne,Beta-Prograne 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
28,28.0,28.0,bd1K.,Betadur,Half-Betadur CR 80mg m/r capsule,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
29,29.0,29.0,bd1L.,Beta-Prograne,Half Beta-Prograne 80mg m/r capsule,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
30,30.0,30.0,bd1M.,Sloprolol,Sloprolol 80mg m/r capsule,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
31,31.0,31.0,bd1N.,Probeta,Probeta LA 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
32,32.0,32.0,bd1O.,Lopranol,Lopranol LA 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
33,33.0,33.0,bd1S.,Propanix,Half Propanix LA 80mg m/r capsule,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
34,34.0,34.0,bd1T.,Propanix,Propanix LA 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
35,35.0,35.0,bd1U.,Propatard,Half Propatard LA 80mg m/r capsule,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
36,36.0,36.0,bd1V.,Propatard,Propatard LA 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
37,37.0,37.0,bd1Z.,Syprol,Syprol 5mg/5mL oral solution,Propranolol Hydrochloride,5 mg/5 ml,,beta blockers,False,False
38,38.0,38.0,bd1a.,Apsolol,Apsolol 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
39,39.0,39.0,bd1b.,Apsolol,Apsolol 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
40,40.0,40.0,bd1c.,Apsolol,Apsolol 160mg tablet,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
41,41.0,41.0,bd1d.,Bedranol,Bedranol 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
42,42.0,42.0,bd1e.,Bedranol,Bedranol 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
43,43.0,43.0,bd1f.,Bedranol,Bedranol 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
44,44.0,44.0,bd1g.,Bedranol,Bedranol SR 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
45,45.0,45.0,bd1h.,Berkolol,Berkolol 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
46,46.0,46.0,bd1i.,Berkolol,Berkolol 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
47,47.0,47.0,bd1j.,Berkolol,Berkolol 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
48,48.0,48.0,bd1k.,Berkolol,Berkolol 160mg tablet,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
49,49.0,49.0,bd1l.,Inderal,Half-Inderal LA 80mg m/r capsule,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
50,50.0,50.0,bd1m.,Inderal,Inderal 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
51,51.0,51.0,bd1n.,Inderal,Inderal 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
52,52.0,52.0,bd1o.,Inderal,Inderal 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
53,53.0,53.0,bd1p.,Inderal,Inderal 160mg tablet,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
54,54.0,54.0,bd1q.,Inderal,Inderal 1mg/1mL injection,Propranolol Hydrochloride,1 mg/1 ml,,beta blockers,False,False
55,55.0,55.0,bd1r.,Inderal,Inderal-LA 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
56,56.0,56.0,bd1s.,Sloprolol,Sloprolol 160mg m/r capsule,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
57,57.0,57.0,bd1t.,Cardinol,Cardinol 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
58,58.0,58.0,bd1u.,Cardinol,Cardinol 40mg tablet,Propranolol Hydrochloride,40 mg,,beta blockers,False,False
59,59.0,59.0,bd1v.,Cardinol,Cardinol 80mg tablet,Propranolol Hydrochloride,80 mg,,beta blockers,False,False
60,60.0,60.0,bd1w.,Cardinol,Cardinol 160mg tablet,Propranolol Hydrochloride,160 mg,,beta blockers,False,False
61,61.0,61.0,bd1z.,Syprol,Syprol 10mg/5mL oral solution,Propranolol Hydrochloride,10 mg/5 ml,,beta blockers,False,False
62,62.0,62.0,bd21.,Sectral,Sectral 100mg capsule,Acebutolol Hydrochloride,100 mg,,beta blockers,False,False
63,63.0,63.0,bd22.,Sectral,Sectral 200mg capsule,Acebutolol Hydrochloride,200 mg,,beta blockers,False,False
64,64.0,64.0,bd23.,Sectral,Sectral 400mg tablet,Acebutolol Hydrochloride,400 mg,,beta blockers,False,False
65,65.0,65.0,bd24.,Sectral,Sectral 10mg/2mL injection,Acebutolol Hydrochloride,10 mg/2 ml,,beta blockers,False,False
66,66.0,66.0,bd3..,Atenolol,Atenolol,Atenolol,,,beta blockers,False,False
67,67.0,67.0,bd31.,Tenormin,Tenormin 100mg tablet,Atenolol,100 mg,,beta blockers,False,False
68,68.0,68.0,bd32.,Tenormin,Tenormin 25mg/5mL syrup,Atenolol,25 mg/5 ml,,beta blockers,False,False
69,69.0,69.0,bd33.,Tenormin,Tenormin 5mg/10mL injection,Atenolol,5 mg/10 ml,,beta blockers,False,False
70,70.0,70.0,bd34.,Tenormin,Tenormin LS 50mg tablet,Atenolol,50 mg,,beta blockers,False,False
71,71.0,71.0,bd35.,Atenolol,Atenolol 50mg tablet,Atenolol,50 mg,,beta blockers,False,False
72,72.0,72.0,bd36.,Atenolol,Atenolol 100mg tablet,Atenolol,100 mg,,beta blockers,False,False
73,73.0,73.0,bd37.,Tenormin,Tenormin CCU pack,Atenolol,,,beta blockers,False,False
74,74.0,74.0,bd3a.,Antipressan,Antipressan 50mg tablet,Atenolol,50 mg,,beta blockers,False,False
75,75.0,75.0,bd3b.,Antipressan,Antipressan 100mg tablet,Atenolol,100 mg,,beta blockers,False,False
76,76.0,76.0,bd3c.,Tenormin,Tenormin 25 tablet,Atenolol,,25.0,beta blockers,False,False
77,77.0,77.0,bd3d.,Vasaten,Vasaten 50mg tablet,Atenolol,50 mg,,beta blockers,False,False
78,78.0,78.0,bd3e.,Vasaten,Vasaten 100mg tablet,Atenolol,100 mg,,beta blockers,False,False
79,79.0,79.0,bd3f.,Atenix,Atenix 50mg tablet,Atenolol,50 mg,,beta blockers,False,False
80,80.0,80.0,bd3g.,Atenix,Atenix 100mg tablet,Atenolol,100 mg,,beta blockers,False,False
81,81.0,81.0,bd3h.,Totamol,Totamol 50mg tablet,Atenolol,50 mg,,beta blockers,False,False
82,82.0,82.0,bd3i.,Totamol,Totamol 100mg tablet,Atenolol,100 mg,,beta blockers,False,False
83,83.0,83.0,bd3j.,Atenolol,Atenolol 25mg tablet,Atenolol,25 mg,,beta blockers,False,False
84,84.0,84.0,bd3k.,Totamol,Totamol 25mg tablet,Atenolol,25 mg,,beta blockers,False,False
85,85.0,85.0,bd3l.,Antipressan,Antipressan 25mg tablet,Atenolol,25 mg,,beta blockers,False,False
86,86.0,86.0,bd3x.,Atenolol,Atenolol 25mg/5mL syrup,Atenolol,25 mg/5 ml,,beta blockers,False,False
87,87.0,87.0,bd3y.,Atenolol,Atenolol 5mg/10mL injection,Atenolol,5 mg/10 ml,,beta blockers,False,False
88,88.0,88.0,bd3z.,Atenix,Atenix 25mg tablet,Atenolol,25 mg,,beta blockers,False,False
89,89.0,89.0,bd4..,Betaxolol HCl,Betaxolol HCl [b-blocker],Betaxolol Hydrochloride,,,beta blockers,False,False
90,90.0,90.0,bd41.,Kerlone,Kerlone 20mg tablet,Betaxolol Hydrochloride,20 mg,,beta blockers,False,False
91,91.0,91.0,bd54.,Labrocol,Labrocol 100mg tablet,Labetalol Hydrochloride,100 mg,,beta blockers,False,False
92,92.0,92.0,bd55.,Labrocol,Labrocol 200mg tablet,Labetalol Hydrochloride,200 mg,,beta blockers,False,False
93,93.0,93.0,bd56.,Labrocol,Labrocol 400mg tablet,Labetalol Hydrochloride,400 mg,,beta blockers,False,False
94,94.0,94.0,bd57.,Trandate,Trandate 50mg tablet,Labetalol Hydrochloride,50 mg,,beta blockers,False,False
95,95.0,95.0,bd58.,Trandate,Trandate 100mg tablet,Labetalol Hydrochloride,100 mg,,beta blockers,False,False
96,96.0,96.0,bd59.,Trandate,Trandate 200mg tablet,Labetalol Hydrochloride,200 mg,,beta blockers,False,False
97,97.0,97.0,bd5a.,Trandate,Trandate 400mg tablet,Labetalol Hydrochloride,400 mg,,beta blockers,False,False
98,98.0,98.0,bd5b.,Trandate,Trandate 100mg/20mL injection,Labetalol Hydrochloride,100 mg/20 ml,,beta blockers,False,False
99,99.0,99.0,bd6..,Toprol,Metoprolol tartrate,Metoprolol Tartrate,,,beta blockers,False,False
100,100.0,100.0,bd61.,Betaloc,Betaloc 50mg tablet,Metoprolol Tartrate,50 mg,,beta blockers,False,False
101,101.0,101.0,bd62.,Betaloc,Betaloc 100mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
102,102.0,102.0,bd63.,Betaloc,Betaloc 5mg/5mL injection,Metoprolol Tartrate,5 mg/5 ml,,beta blockers,False,False
103,103.0,103.0,bd64.,Betaloc,Betaloc-SA 200mg Durule,Metoprolol Tartrate,200 mg,,beta blockers,False,False
104,104.0,104.0,bd65.,Lopresor,Lopresor 50mg tablet,Metoprolol Tartrate,50 mg,,beta blockers,False,False
105,105.0,105.0,bd66.,Lopresor,Lopresor 100mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
106,106.0,106.0,bd67.,Mepranix,Mepranix 50mg tablet,Metoprolol Tartrate,50 mg,,beta blockers,False,False
107,107.0,107.0,bd68.,Mepranix,Mepranix 100mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
108,108.0,108.0,bd6a.,Lopresor,Lopresor 5mg/5mL injection,Metoprolol Tartrate,5 mg/5 ml,,beta blockers,False,False
109,109.0,109.0,bd6b.,Lopresor,Lopresor SR 200mg m/r tablet,Metoprolol Tartrate,200 mg,,beta blockers,False,False
110,110.0,110.0,bd6c.,Arbralene,Arbralene 50mg tablet,Metoprolol Tartrate,50 mg,,beta blockers,False,False
111,111.0,111.0,bd6d.,Arbralene,Arbralene 100mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
112,112.0,112.0,bd6e.,Tensomex,Tensomex 100mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
113,113.0,113.0,bd6w.,Toprol,Metoprolol tartrate 100mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
114,114.0,114.0,bd6x.,Toprol,Metoprolol tartrate 50mg tablet,Metoprolol Tartrate,50 mg,,beta blockers,False,False
115,115.0,115.0,bd6y.,Toprol,Metoprolol tartrate 5mg/5mL injection,Metoprolol Tartrate,5 mg/5 ml,,beta blockers,False,False
116,116.0,116.0,bd6z.,Toprol,Metoprolol tartrate 200mg m/r tablet,Metoprolol Tartrate,200 mg,,beta blockers,False,False
117,117.0,117.0,bd7..,Nadolol,Nadolol,Nadolol,,,beta blockers,False,False
118,118.0,118.0,bd71.,Corgard,Corgard 40mg tablet,Nadolol,40 mg,,beta blockers,False,False
119,119.0,119.0,bd72.,Corgard,Corgard 80mg tablet,Nadolol,80 mg,,beta blockers,False,False
120,120.0,120.0,bd7y.,Nadolol,Nadolol 40mg tablet,Nadolol,40 mg,,beta blockers,False,False
121,121.0,121.0,bd7z.,Nadolol,Nadolol 80mg tablet,Nadolol,80 mg,,beta blockers,False,False
122,122.0,122.0,bd85.,Apsolox,Apsolox 20mg tablet,Oxprenolol Hydrochloride,20 mg,,beta blockers,False,False
123,123.0,123.0,bd86.,Apsolox,Apsolox 40mg tablet,Oxprenolol Hydrochloride,40 mg,,beta blockers,False,False
124,124.0,124.0,bd87.,Apsolox,Apsolox 80mg tablet,Oxprenolol Hydrochloride,80 mg,,beta blockers,False,False
125,125.0,125.0,bd88.,Apsolox,Apsolox 160mg tablet,Oxprenolol Hydrochloride,160 mg,,beta blockers,False,False
126,126.0,126.0,bd89.,Laracor,Laracor 20mg tablet,Oxprenolol Hydrochloride,20 mg,,beta blockers,False,False
127,127.0,127.0,bd8a.,Laracor,Laracor 40mg tablet,Oxprenolol Hydrochloride,40 mg,,beta blockers,False,False
128,128.0,128.0,bd8b.,Laracor,Laracor 80mg tablet,Oxprenolol Hydrochloride,80 mg,,beta blockers,False,False
129,129.0,129.0,bd8c.,Laracor,Laracor 160mg tablet,Oxprenolol Hydrochloride,160 mg,,beta blockers,False,False
130,130.0,130.0,bd8d.,Slow-Pren,Slow-Pren 160mg m/r tablet,Oxprenolol Hydrochloride,160 mg,,beta blockers,False,False
131,131.0,131.0,bd8e.,Slow-Trasicor,Slow-Trasicor 160mg m/r tablet,Oxprenolol Hydrochloride,160 mg,,beta blockers,False,False
132,132.0,132.0,bd8f.,Trasicor,Trasicor 20mg tablet,Oxprenolol Hydrochloride,20 mg,,beta blockers,False,False
133,133.0,133.0,bd8g.,Trasicor,Trasicor 40mg tablet,Oxprenolol Hydrochloride,40 mg,,beta blockers,False,False
134,134.0,134.0,bd8h.,Trasicor,Trasicor 80mg tablet,Oxprenolol Hydrochloride,80 mg,,beta blockers,False,False
135,135.0,135.0,bd8i.,Trasicor,Trasicor 160mg tablet,Oxprenolol Hydrochloride,160 mg,,beta blockers,False,False
136,136.0,136.0,bd8j.,Trasicor,Trasicor 2mg injection,Oxprenolol Hydrochloride,2 mg,,beta blockers,False,False
137,137.0,137.0,bd8k.,Paritane,Paritane 20mg tablet,Oxprenolol Hydrochloride,20 mg,,beta blockers,False,False
138,138.0,138.0,bd8l.,Paritane,Paritane 40mg tablet,Oxprenolol Hydrochloride,40 mg,,beta blockers,False,False
139,139.0,139.0,bd8m.,Paritane,Paritane 80mg tablet,Oxprenolol Hydrochloride,80 mg,,beta blockers,False,False
140,140.0,140.0,bd8n.,Paritane,Paritane 160mg tablet,Oxprenolol Hydrochloride,160 mg,,beta blockers,False,False
141,141.0,141.0,bda..,Pindolol,Pindolol,Pindolol,,,beta blockers,False,False
142,142.0,142.0,bda1.,Visken,Visken 5mg tablet,Pindolol,5 mg,,beta blockers,False,False
143,143.0,143.0,bda2.,Visken,Visken 15mg tablet,Pindolol,15 mg,,beta blockers,False,False
144,144.0,144.0,bda3.,Betadren,Betadren 5mg tablet,Pindolol,5 mg,,beta blockers,False,False
145,145.0,145.0,bda4.,Betadren,Betadren 15mg tablet,Pindolol,15 mg,,beta blockers,False,False
146,146.0,146.0,bday.,Pindolol,Pindolol 5mg tablet,Pindolol,5 mg,,beta blockers,False,False
147,147.0,147.0,bdaz.,Pindolol,Pindolol 15mg tablet,Pindolol,15 mg,,beta blockers,False,False
148,148.0,148.0,bdb..,Practolol,Practolol [b-blocker],Practolol,,,beta blockers,False,False
149,149.0,149.0,bdc1.,Beta-Cardone,Beta-Cardone 40mg tablet,Sotalol Hydrochloride,40 mg,,beta blockers,False,False
150,150.0,150.0,bdc2.,Beta-Cardone,Beta-Cardone 80mg tablet,Sotalol Hydrochloride,80 mg,,beta blockers,False,False
151,151.0,151.0,bdc3.,Beta-Cardone,Beta-Cardone 200mg tablet,Sotalol Hydrochloride,200 mg,,beta blockers,False,False
152,152.0,152.0,bdc4.,Sotacor,Sotacor 80mg tablet,Sotalol Hydrochloride,80 mg,,beta blockers,False,False
153,153.0,153.0,bdc5.,Sotacor,Sotacor 160mg tablet,Sotalol Hydrochloride,160 mg,,beta blockers,False,False
154,154.0,154.0,bdc6.,Sotacor,Sotacor 10mg/5mL injection,Sotalol Hydrochloride,10 mg/5 ml,,beta blockers,False,False
155,155.0,155.0,bdc7.,Sotacor,Sotacor 100mg/10mL injection,Sotalol Hydrochloride,100 mg/10 ml,,beta blockers,False,False
156,156.0,156.0,bdc8.,Sotacor,Sotacor 40mg/4mL injection,Sotalol Hydrochloride,40 mg/4 ml,,beta blockers,False,False
157,157.0,157.0,bdd..,Timolol,Timolol maleate [b-blocker],Timolol,,,beta blockers,False,False
158,158.0,158.0,bdd1.,Betim,Betim 10mg tablet,Timolol,10 mg,,beta blockers,False,False
159,159.0,159.0,bdd2.,Blocadren,Blocadren 10mg tablet,Timolol,10 mg,,beta blockers,False,False
160,160.0,160.0,bddz.,Timolol,Timolol maleate 10mg tablet,Timolol,10 mg,,beta blockers,False,False
161,161.0,161.0,bde1.,Betaloc,Co-Betaloc tablet,Metoprolol Tartrate,,,beta blockers,False,False
162,162.0,162.0,bde2.,Betaloc,Co-Betaloc SA tablet,Metoprolol Tartrate,,,beta blockers,False,False
163,163.0,163.0,bde3.,Corgaretic,Corgaretic 40mg tablet,Nadolol With Diuretic,40 mg,,beta blockers,False,False
164,164.0,164.0,bde4.,Corgaretic,Corgaretic 80mg tablet,Nadolol With Diuretic,80 mg,,beta blockers,False,False
165,165.0,165.0,bde5.,Inderetic,Inderetic capsule,Propranolol Hydrochloride With Diuretic,,,beta blockers,False,False
166,166.0,166.0,bde6.,Inderex,Inderex capsule,Propranolol Hydrochloride With Diuretic,,,beta blockers,False,False
167,167.0,167.0,bde7.,Kalten,Kalten capsule,Atenolol With Diuretic,,,beta blockers,False,False
168,168.0,168.0,bde8.,Lasipressin,Lasipressin tablet,Penbutolol Sulphate With Diuretic,,,beta blockers,False,False
169,169.0,169.0,bde9.,Lopresor,Lopresoretic tablet,Metoprolol Tartrate,,,beta blockers,False,False
170,170.0,170.0,bdeA.,Toprol,Metoprolol tartrate+hydrochlorothiazide 100mg/12.5mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,True
171,171.0,171.0,bdeB.,Toprol,Metoprolol tartrate+hydrochlorothiazide 200mg/25mg m/r tablet,Metoprolol Tartrate,200 mg,,beta blockers,False,True
172,172.0,172.0,bdeC.,Toprol,Metoprolol tartrate+chlorthalidone 100mg/12.5mg tablet,Metoprolol Tartrate,100 mg,,beta blockers,False,False
173,173.0,173.0,bdeD.,Nadolol,Nadolol+bendroflumethiazide 40mg/5mg tablet,Nadolol,40 mg,,beta blockers,False,True
174,174.0,174.0,bdeD.,Nadolol,Nadolol+bendrofluazide 40mg/5mg tablet,Nadolol,40 mg,,beta blockers,False,False
175,175.0,175.0,bdeE.,Nadolol,Nadolol+bendrofluazide 80mg/5mg tablet,Nadolol,80 mg,,beta blockers,False,False
176,176.0,176.0,bdeG.,Pindolol,Pindolol+clopamide 10mg/5mg tablet,Pindolol,10 mg,,beta blockers,False,False
177,177.0,177.0,bdeK.,Timolol,Timolol maleate+co-amilozide 10mg/2.5mg/25mg tablet,Timolol,10 mg,,beta blockers,False,True
178,178.0,178.0,bdeL.,Timolol,Timolol maleate+bendroflumethiazide 10mg/2.5mg tablet,Timolol,10 mg,,beta blockers,False,True
179,179.0,179.0,bdeL.,Timolol,Timolol maleate+bendrofluazide 10mg/2.5mg tablet,Timolol,10 mg,,beta blockers,False,False
180,180.0,180.0,bdeM.,Timolol,Timolol maleate+bendrofluazide 20mg/5mg tablet,Timolol,20 mg,,beta blockers,False,False
181,181.0,181.0,bdeN.,Totaretic,Totaretic 50mg/12.5mg tablet,Co-Tenidone (Atenolol/Chlortalidone),50 mg,,beta blockers,False,False
182,182.0,182.0,bdeO.,Totaretic,Totaretic 100mg/25mg tablet,Co-Tenidone (Atenolol/Chlortalidone),100 mg,,beta blockers,False,False
183,183.0,183.0,bdeP.,Atenolol,Atenolol+bendrofluazide 25mg/1.25mg capsule,Atenolol,25 mg,,beta blockers,False,False
184,184.0,184.0,bdeQ.,Tenben,Tenben capsule,Atenolol with Thiazides,,,beta blockers,False,False
185,185.0,185.0,bdea.,Moducren,Moducren tablet,Timolol With Diuretic,,,beta blockers,False,False
186,186.0,186.0,bdeb.,Prestim,Prestim tablet,Timolol With Diuretic,,,beta blockers,False,False
187,187.0,187.0,bdec.,Prestim,Prestim Forte tablet,Timolol With Diuretic,,,beta blockers,False,False
188,188.0,188.0,bded.,Secadrex,Secadrex tablet,Acebutolol Hydrochloride With Diuretic,,,beta blockers,False,False
189,189.0,189.0,bdee.,Sotazide,Sotazide tablet,Sotalol Hydrochloride With Diuretic,,,beta blockers,False,False
190,190.0,190.0,bdef.,Spiroprop,Spiroprop tablet,Propranolol Hydrochloride With Diuretic,,,beta blockers,False,False
191,191.0,191.0,bdeg.,Tenoret,Tenoret 50 tablet,Co-Tenidone (Atenolol/Chlortalidone),,50.0,beta blockers,False,False
192,192.0,192.0,bdeh.,Tenoret,Tenoretic tablet,Co-Tenidone (Atenolol/Chlortalidone),,,beta blockers,False,False
193,193.0,193.0,bdei.,Tolerzide,Tolerzide tablet,Sotalol Hydrochloride With Diuretic,,,beta blockers,False,False
194,194.0,194.0,bdej.,Trasidrex,Trasidrex tablet,Co-Prenozide (Oxprenolol HCl/Cyclopenth),,,beta blockers,False,False
195,195.0,195.0,bdek.,Viskaldix,Viskaldix tablet,Pindolol With Diuretic,,,beta blockers,False,False
196,196.0,196.0,bdem.,Atenolol,Atenolol+chlorthalidone 50mg/12.5mg tablet,Atenolol,50 mg,,beta blockers,False,False
197,197.0,197.0,bdem.,Atenolol,Atenolol+chlortalidone 50mg/12.5mg tablet,Atenolol,50 mg,,beta blockers,False,True
198,198.0,198.0,bden.,Atenolol,Atenolol+chlorthalidone 100mg/25mg tablet,Atenolol,100 mg,,beta blockers,False,False
199,199.0,199.0,bden.,Atenolol,Atenolol+chlortalidone 100mg/25mg tablet,Atenolol,100 mg,,beta blockers,False,True
200,200.0,200.0,bdeo.,Atenix,AtenixCo 50mg/12.5mg tablet,Atenolol,50 mg,,beta blockers,False,False
201,201.0,201.0,bdep.,Atenix,AtenixCo 100mg/25mg tablet,Atenolol,100 mg,,beta blockers,False,False
202,202.0,202.0,bdeq.,Tenchlor,Tenchlor 50mg/12.5mg tablet,Co-Tenidone (Atenolol/Chlortalidone),50 mg,,beta blockers,False,False
203,203.0,203.0,bder.,Tenchlor,Tenchlor 100mg/25mg tablet,Co-Tenidone (Atenolol/Chlortalidone),100 mg,,beta blockers,False,False
204,204.0,204.0,bdes.,Beta-Adalat,Beta-Adalat capsule,Atenolol With Calcium Channel Blocker,,,beta blockers,True,False
205,205.0,205.0,bdet.,Tenif,Tenif capsule,Atenolol With Calcium Channel Blocker,,,beta blockers,False,False
206,206.0,206.0,bdey.,Atenolol,Atenolol+co-amilozide 50mg/2.5mg/25mg capsule,Atenolol,50 mg,,beta blockers,False,True
207,207.0,207.0,bdez.,Atenolol,Atenolol+nifedipine 50mg/20mg m/r capsule,Atenolol,50 mg,,beta blockers,True,False
208,208.0,208.0,bdf..,Soprol,Bisoprolol fumarate,Bisoprolol Fumarate,,,beta blockers,False,False
209,209.0,209.0,bdf1.,Soprol,Bisoprolol fumarate 5mg tablet,Bisoprolol Fumarate,5 mg,,beta blockers,False,False
210,210.0,210.0,bdf2.,Soprol,Bisoprolol fumarate 10mg tablet,Bisoprolol Fumarate,10 mg,,beta blockers,False,False
211,211.0,211.0,bdf3.,Monocor,Monocor 5mg tablet,Bisoprolol Fumarate,5 mg,,beta blockers,False,False
212,212.0,212.0,bdf4.,Monocor,Monocor 10mg tablet,Bisoprolol Fumarate,10 mg,,beta blockers,False,False
213,213.0,213.0,bdf5.,Emcor,Emcor LS 5mg tablet,Bisoprolol Fumarate,5 mg,,beta blockers,False,False
214,214.0,214.0,bdf6.,Emcor,Emcor 10mg tablet,Bisoprolol Fumarate,10 mg,,beta blockers,False,False
215,215.0,215.0,bdf7.,Monozide 10,Monozide 10 tablet,Bisoprolol Fumarate With Diuretic,,10.0,beta blockers,False,False
216,216.0,216.0,bdf8.,Soprol,Bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet,Bisoprolol Fumarate,10 mg,,beta blockers,False,True
217,217.0,217.0,bdf9.,Cardicor,Cardicor 1.25mg tablet,Bisoprolol Fumarate,1.25 mg,,beta blockers,False,False
218,218.0,218.0,bdfA.,Cardicor,Cardicor 2.5mg tablet,Bisoprolol Fumarate,2.5 mg,,beta blockers,False,False
