bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0205010J0AAAQAQ,Hydralazine HCl,Hydralazine HCl_Susp 20mg/5ml,Hydralazine Hydrochloride,,20 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAARAR,Hydralazine HCl,Hydralazine HCl_Susp 25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAASAS,Hydralazine HCl,Hydralazine HCl_Cap 12.5mg,Hydralazine Hydrochloride,,12.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAATAT,Hydralazine HCl,Hydralazine HCl_Susp 6.25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAUAU,Hydralazine HCl,Hydralazine HCl_Cap 6.25mg,Hydralazine Hydrochloride,,6.25 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAVAV,Hydralazine HCl,Hydralazine HCl_Susp 50mg/5ml,Hydralazine Hydrochloride,,50 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAWAW,Hydralazine HCl,Hydralazine HCl_Tab 12.5mg,Hydralazine Hydrochloride,,12.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAXAX,Hydralazine HCl,Hydralazine HCl_Susp 15mg/5ml,Hydralazine Hydrochloride,,15 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAYAY,Hydralazine HCl,Hydralazine HCl_Susp 9mg/5ml,Hydralazine Hydrochloride,,9 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAZAZ,Hydralazine HCl,Hydralazine HCl_Oral Liq @spec,Hydralazine Hydrochloride,,,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABABA,Hydralazine HCl,Hydralazine HCl_Liq Spec 62.5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABBBB,Hydralazine HCl,Hydralazine HCl_Liq Spec 12.5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABCBC,Hydralazine HCl,Hydralazine HCl_Pdrs 10mg,Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABDBD,Hydralazine HCl,Hydralazine HCl_Pdrs 7.5mg,Hydralazine Hydrochloride,,7.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABEBE,Hydralazine HCl,Hydralazine HCl_Liq Spec 100mg/5ml,Hydralazine Hydrochloride,,100 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABFBF,Hydralazine HCl,Hydralazine HCl_Liq Spec 4mg/5ml,Hydralazine Hydrochloride,,4 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABGBG,Hydralazine HCl,Hydralazine HCl_Cap 37.5mg,Hydralazine Hydrochloride,,37.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABHBH,Hydralazine HCl,Hydralazine HCl_Liq Spec 3mg/5ml,Hydralazine Hydrochloride,,3 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABIBI,Hydralazine HCl,Hydralazine HCl_Liq Spec 2mg/5ml,Hydralazine Hydrochloride,,2 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABJBJ,Hydralazine HCl,Hydralazine HCl_Tab Disper 10mg,Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABKBK,Hydralazine HCl,Hydralazine HCl_Tab 10mg,Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABLBL,Hydralazine HCl,Hydralazine HCl_Liq Spec 15mg/5ml,Hydralazine Hydrochloride,,15 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABMBM,Hydralazine HCl,Hydralazine HCl_Cap 20mg,Hydralazine Hydrochloride,,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABNBN,Hydralazine HCl,Hydralazine HCl_Cap 10mg,Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABPBP,Hydralazine HCl,Hydralazine HCl_Liq Spec 1.25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABQBQ,Hydralazine HCl,Hydralazine HCl_Liq Spec 2.5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABRBR,Hydralazine HCl,Hydralazine HCl_Liq Spec 1mg/5ml,Hydralazine Hydrochloride,,1 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABSBS,Hydralazine HCl,Hydralazine HCl_Liq Spec 35mg/5ml,Hydralazine Hydrochloride,,35 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0BBAAAG,Apresoline,Apresoline_Tab 25mg,Hydralazine Hydrochloride,,25 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0BBABAH,Apresoline,Apresoline_Tab 50mg,Hydralazine Hydrochloride,,50 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0BBACAK,Apresoline,Apresoline_Inj 20mg (Dry) Amp,Hydralazine Hydrochloride,,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0BBADAW,Apresoline,Apresoline_Tab 12.5mg,Hydralazine Hydrochloride,,12.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0BBAEBK,Apresoline,Apresoline_Tab 10mg (Import),Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0BCAABK,Apo-Hydralazine,Apo-Hydralazine_Tab 10mg,Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0AAAAAA,Minoxidil (Systemic),Minoxidil_Tab 2.5mg,Minoxidil,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0AAABAB,Minoxidil (Systemic),Minoxidil_Tab 5mg,Minoxidil,,5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0AAACAC,Minoxidil (Systemic),Minoxidil_Tab 10mg,Minoxidil,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0AAADAD,Minoxidil (Systemic),Minoxidil_Oral Liq @spec,Minoxidil,,,Vasodilator Antihypertensive Drugs,False,False
0205010N0BBAAAA,Loniten,Loniten_Tab 2.5mg,Minoxidil,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0BBABAB,Loniten,Loniten_Tab 5mg,Minoxidil,,5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0BBACAC,Loniten,Loniten_Tab 10mg,Minoxidil,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010N0BCAAAA,Lonolox,Lonolox_Tab 2.5mg,Minoxidil,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010T0AAAAAA,Sod Nitroprusside,Sod Nitroprusside_Inj 50mg Vl (Dry),Sodium Nitroprusside,,50 mg,Vasodilator Antihypertensive Drugs,False,False
0205010U0AAAAAA,Bosentan,Bosentan_Tab 62.5mg,Bosentan,,62.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010U0AAABAB,Bosentan,Bosentan_Tab 125mg,Bosentan,,125 mg,Vasodilator Antihypertensive Drugs,False,False
