bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0205020M0BBABAB,Physiotens,Physiotens_Tab 400mcg (Mylan),Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BBACAC,Physiotens,Physiotens_Tab 300mcg (Mylan),Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BBADAA,Physiotens,Physiotens_Tab 200mcg (Actavis),Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BBAEAB,Physiotens,Physiotens_Tab 400mcg (Actavis),Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BBAFAC,Physiotens,Physiotens_Tab 300mcg (Actavis),Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BCAAAA,Fisiotens,Fisiotens_Tab 200mcg,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020M0BDAAAB,Normatens,Normatens_Tab 400mcg,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAAAAA,Reserpine & Rauwolfia Alkaloids,Reserpine_Tab 100mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAABAB,Reserpine & Rauwolfia Alkaloids,Reserpine_Tab 250mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAACAC,Reserpine & Rauwolfia Alkaloids,Methoserp_Tab 5mg,Reserpine And Rauwolfia Alkaloids,,5 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAADAD,Reserpine & Rauwolfia Alkaloids,Methoserp_Tab 10mg,Reserpine And Rauwolfia Alkaloids,,10 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAAEAE,Reserpine & Rauwolfia Alkaloids,Rauwol Alkaloids_Tab 2mg,Reserpine And Rauwolfia Alkaloids,,2 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAAFAF,Reserpine & Rauwolfia Alkaloids,Alseroxylon_Tab 2mg,Reserpine And Rauwolfia Alkaloids,,2 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAAGAG,Reserpine & Rauwolfia Alkaloids,Deserpidine_Tab 250mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAAHAH,Reserpine & Rauwolfia Alkaloids,Reserpine_Tab 250mcg (Import),Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0AAAIAI,Reserpine & Rauwolfia Alkaloids,Reserpine_Tab 500mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BBAAAA,Serpasil,Serpasil_Tab 100mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BBABAB,Serpasil,Serpasil_Tab 250mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BCAAAC,Decaserpyl,Decaserpyl_Tab 5mg,Reserpine And Rauwolfia Alkaloids,,5 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BCABAD,Decaserpyl,Decaserpyl_Tab 10mg,Reserpine And Rauwolfia Alkaloids,,10 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BDAAAE,Hypercal,Hypercal_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BEAAAF,Rauwiloid,Rauwiloid_Tab 2mg,Reserpine And Rauwolfia Alkaloids,,2 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020N0BFAAAG,Harmonyl,Harmonyl_Tab 250mcg,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020P0AAAAAA,Alkavervir,Alkavervir/Alseroxylon_Tab 3mg/1mg,Reserpine And Rauwolfia Alkaloids,,3 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020P0AAABAB,Alkavervir,Alkavervir/Epitizide_Tab 4mg/4mg,Reserpine And Rauwolfia Alkaloids,,4 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020P0BBAAAA,Rauwiloid Plus Veriloid,Rauwiloid Plus Veriloid_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020P0BCAAAB,Thiaver,Thiaver_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020Q0AAAAAA,Reserp & Rauwalk + Barbiturate,Rauwol Alkaloids/Amobarb_Tab 2mg/15mg,Reserpine And Rauwolfia Alkaloids,,2 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020Q0AAABAB,Reserp & Rauwalk + Barbiturate,Gppe Tab_Seominal,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020Q0BBAAAA,Hypercal B,Hypercal B_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020Q0BCAAAB,Seominal,Seominal_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020R0AAAAAA,Reserp & Rauwalk + Diuretic,Methoserp/Benzthiazide_Tab 10mg/20mg,Reserpine And Rauwolfia Alkaloids,,10 mg,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0AAABAB,Reserp & Rauwalk + Diuretic,Reserpine/Hydchloroth_Tab 150mcg/10mg,Reserpine And Rauwolfia Alkaloids,,10 mg,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0AAACAC,Reserp & Rauwalk + Diuretic,Gppe Tab_Abicol,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0AAADAD,Reserp & Rauwalk + Diuretic,Gppe Tab_Rautrax,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0BBAAAA,Decaserpyl Plus,Decaserpyl Plus_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0BCAAAB,Serpasil-Esidrex,Serpasil-Esidrex_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0BDAAAC,Abicol,Abicol_Tab,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,True
0205020R0BEAAAD,Rautrax,Rautrax_Tab 50mg,Reserpine And Rauwolfia Alkaloids,,50 mg,Centrally-Acting Antihypertensive Drugs,False,True
0205030C0AAAAAA,Betanidine Sulf,Betanidine Sulf_Tab 10mg,Betanidine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030C0AAABAB,Betanidine Sulf,Betanidine Sulf_Tab 50mg BP,Betanidine Sulfate,,50 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030C0AAACAC,Betanidine Sulf,Betanidine Sulf_Tab 10mg           @gn,Betanidine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030C0BBAAAA,Bendogen,Bendogen_Tab 10mg,Betanidine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030C0BBABAB,Bendogen,Bendogen_Tab 50mg,Betanidine Sulfate,,50 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030C0BCAAAA,Esbatal,Esbatal_Tab 10mg,Betanidine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030C0BCABAB,Esbatal,Esbatal_Tab 50mg,Betanidine Sulfate,,50 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030H0AAAAAA,Debrisoquine Sulf,Debrisoquine Sulf_Tab 10mg,Debrisoquine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030H0AAABAB,Debrisoquine Sulf,Debrisoquine Sulf_Tab 20mg,Debrisoquine Sulfate,,20 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030H0BBAAAA,Declinax,Declinax_Tab 10mg,Debrisoquine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030H0BBABAB,Declinax,Declinax_Tab 20mg,Debrisoquine Sulfate,,20 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030N0AAAAAA,Guaneth Monosulf (Systemic),Guaneth Monosulf_Inj 10mg/ml 1ml Amp,Guanethidine Monosulfate,,10 mg/mL,Adrenergic Neurone Blocking Drugs,False,False
0205030N0AAABAB,Guaneth Monosulf (Systemic),Guaneth Monosulf_Tab 10mg,Guanethidine Monosulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030N0AAACAC,Guaneth Monosulf (Systemic),Guaneth Monosulf_Tab 25mg,Guanethidine Monosulfate,,25 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030N0BBAAAB,Ismelin (Systemic),Ismelin_Tab 10mg,Guanethidine Monosulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030N0BBABAC,Ismelin (Systemic),Ismelin_Tab 25mg,Guanethidine Monosulfate,,25 mg,Adrenergic Neurone Blocking Drugs,False,False
0205030N0BBACAA,Ismelin (Systemic),Ismelin_Inj 10mg/ml 1ml Amp,Guanethidine Monosulfate,,10 mg/mL,Adrenergic Neurone Blocking Drugs,False,False
0205030N0BCAAAB,Lotens,Lotens_Tab 10mg,Guanethidine Monosulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
0205040D0AAAAAA,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 1mg,Doxazosin Mesilate,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAABAB,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 2mg,Doxazosin Mesilate,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAACAC,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAADAD,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Oral Liq @spec,Doxazosin Mesilate,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAEAE,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Cap 1mg,Doxazosin Mesilate,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAFAF,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Cap 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAGAG,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Cap 2mg,Doxazosin Mesilate,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAHAH,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 8mg/5ml,Doxazosin Mesilate,,8 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAIAI,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 2mg/5ml,Doxazosin Mesilate,,2 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAJAJ,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 4mg              @gn,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAKAK,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 5mg/5ml,Doxazosin Mesilate,,5 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAALAL,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 4mg/5ml,Doxazosin Mesilate,,4 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAMAM,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 1mg/5ml,Doxazosin Mesilate,,1 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAANAN,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 2mg              @gn,Doxazosin Mesilate,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAPAP,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 3mg/5ml,Doxazosin Mesilate,,3 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAQAQ,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 4mg M/R,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAARAR,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 8mg M/R,Doxazosin Mesilate,,8 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAASAS,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 6mg/5ml,Doxazosin Mesilate,,6 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAATAT,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 2.5mg/5ml,Doxazosin Mesilate,,5 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAUAU,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 500mcg/5ml,Doxazosin Mesilate,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAVAV,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 80mg/5ml,Doxazosin Mesilate,,80 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAWAW,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Liq Spec 16mg/5ml,Doxazosin Mesilate,,16 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAXAX,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Oral Soln 4mg/5ml,Doxazosin Mesilate,,4 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAYAY,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Oral Susp 4mg/5ml,Doxazosin Mesilate,,4 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AAAZAZ,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Oral Soln 1mg/5ml,Doxazosin Mesilate,,1 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AABABA,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Oral Susp 1mg/5ml,Doxazosin Mesilate,,1 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0AABBBB,Doxazosin Mesil (Hypertension),Doxazosin Mesil_Tab 8mg,Doxazosin Mesilate,,8 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BBAAAA,Cardura (Hypertension),Cardura_Tab 1mg,Doxazosin Mesilate,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BBABAB,Cardura (Hypertension),Cardura_Tab 2mg,Doxazosin Mesilate,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BBACAC,Cardura (Hypertension),Cardura_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BBADAQ,Cardura (Hypertension),Cardura XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BBAEAR,Cardura (Hypertension),Cardura XL_Tab 8mg,Doxazosin Mesilate,,8 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BCAAAB,Cascor (Hypertension),Cascor_Tab 2mg,Doxazosin Mesilate,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BCABAC,Cascor (Hypertension),Cascor_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BDAAAA,Doxadura (Hypertension),Doxadura_Tab 1mg,Doxazosin Mesilate,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BDABAB,Doxadura (Hypertension),Doxadura_Tab 2mg,Doxazosin Mesilate,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BDACAC,Doxadura (Hypertension),Doxadura_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BDADAQ,Doxadura (Hypertension),Doxadura_XL Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BEAAAQ,Slocinx,Slocinx XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BFAAAQ,Colixil,Colixil XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BGAAAQ,Cardozin,Cardozin XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BGABAQ,Cardozin,Cardozin XL_Tab 4mg (Almus),Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BHAAAQ,Oxandosin,Oxandosin XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BIAAAQ,Doxzogen,Doxzogen XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BJAAAQ,Larbex,Larbex XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BKAAAQ,Raporsin,Raporsin XL_Tab 4mg,Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040D0BKABAQ,Raporsin,Raporsin XL_Tab 4mg (Arrow Generics Ltd),Doxazosin Mesilate,,4 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040I0AAAAAA,Indoramin (Hypertension),Indoramin_Tab 25mg,Indoramin,,25 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040I0AAABAB,Indoramin (Hypertension),Indoramin_Tab 50mg,Indoramin,,50 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040I0AAACAC,Indoramin (Hypertension),Indoramin_Tab 20mg,Indoramin,,20 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040I0BBAAAA,Baratol,Baratol_Tab 25mg,Indoramin,,25 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040I0BBABAB,Baratol,Baratol_Tab 50mg,Indoramin,,50 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040K0BBAAA0,Vadilex,Vadilex_Tab 20mg,Ifenprodil Tartrate,,20 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAAAA,Phenoxybenz HCl,Phenoxybenz HCl_Cap 2.5mg,Phenoxybenzamine Hydrochloride,,2.5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAABAB,Phenoxybenz HCl,Phenoxybenz HCl_Cap 5mg,Phenoxybenzamine Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAACAC,Phenoxybenz HCl,Phenoxybenz HCl_Cap 10mg,Phenoxybenzamine Hydrochloride,,10 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAADAD,Phenoxybenz HCl,Phenoxybenz HCl_Inj 50mg/ml 2ml Amp,Phenoxybenzamine Hydrochloride,,50 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAEAE,Phenoxybenz HCl,Phenoxybenz HCl_Tab 5mg,Phenoxybenzamine Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAGAG,Phenoxybenz HCl,Phenoxybenz HCl_Pdrs 2.5mg,Phenoxybenzamine Hydrochloride,,2.5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAHAH,Phenoxybenz HCl,Phenoxybenz HCl_Cap 2mg,Phenoxybenzamine Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAIAI,Phenoxybenz HCl,Phenoxybenz HCl_Tab 10mg,Phenoxybenzamine Hydrochloride,,10 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAJAJ,Phenoxybenz HCl,Phenoxybenz HCl_Inj 100mg/ml 2ml Amp,Phenoxybenzamine Hydrochloride,,100 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAKAK,Phenoxybenz HCl,Phenoxybenz HCl_Pdrs 2mg,Phenoxybenzamine Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAALAL,Phenoxybenz HCl,Phenoxybenz HCl_Cap 6mg,Phenoxybenzamine Hydrochloride,,6 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAMAM,Phenoxybenz HCl,Phenoxybenz HCl_Liq Spec 25mg/5ml,Phenoxybenzamine Hydrochloride,,25 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAANAN,Phenoxybenz HCl,Phenoxybenz HCl_Liq Spec 10mg/5ml,Phenoxybenzamine Hydrochloride,,10 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAPAP,Phenoxybenz HCl,Phenoxybenz HCl_Liq Spec 5mg/5ml,Phenoxybenzamine Hydrochloride,,5 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0AAAQAQ,Phenoxybenz HCl,Phenoxybenz HCl_Cap 8mg,Phenoxybenzamine Hydrochloride,,8 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0BBAAAC,Dibenyline,Dibenyline_Cap 10mg,Phenoxybenzamine Hydrochloride,,10 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0BBABAA,Dibenyline,Dibenyline_Cap 2.5mg,Phenoxybenzamine Hydrochloride,,2.5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0BBACAB,Dibenyline,Dibenyline_Cap 5mg,Phenoxybenzamine Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0BBADAE,Dibenyline,Dibenyline_Tab 5mg,Phenoxybenzamine Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040M0BBAEAD,Dibenyline,Dibenyline_Inj 50mg/ml 2ml Amp,Phenoxybenzamine Hydrochloride,,50 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040P0AAAAAA,Phentolam Mesil,Phentolam Mesil_Inj 10mg/ml 1ml Amp,Phentolamine Mesilate,,10 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040P0AAABAB,Phentolam Mesil,Phentolam Mesil_Inj 10mg/ml 5ml Amp,Phentolamine Mesilate,,10 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040P0BBAAAA,Rogitine,Rogitine_Inj 10mg/ml 1ml Amp,Phentolamine Mesilate,,10 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040P0BBABAB,Rogitine,Rogitine_Inj 10mg/ml 5ml Amp,Phentolamine Mesilate,,10 mg/mL,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAAAA,Prazosin HCl,Prazosin HCl_Tt/Pack (500mcg/1mg Tab),Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAABAB,Prazosin HCl,Prazosin HCl_Tab 500mcg,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAACAC,Prazosin HCl,Prazosin HCl_Tab 1mg,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAADAD,Prazosin HCl,Prazosin HCl_Tab 2mg,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAEAE,Prazosin HCl,Prazosin HCl_Tab 5mg,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAFAF,Prazosin HCl,Prazosin HCl_Tab 1mg (Parallel Import),Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAGAG,Prazosin HCl,Prazosin HCl_Tab 2mg (Parallel Import),Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAHAH,Prazosin HCl,Prazosin HCl_Mix 300mcg/5ml,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAIAI,Prazosin HCl,Prazosin HCl_Liq Spec 500mcg/5ml,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAJAJ,Prazosin HCl,Prazosin HCl_Liq Spec 250mcg/5ml,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAKAK,Prazosin HCl,Prazosin HCl_Liq Spec 1mg/5ml,Prazosin Hydrochloride,,1 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAALAL,Prazosin HCl,Prazosin HCl_Pdrs 150mg,Prazosin Hydrochloride,,150 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAAMAM,Prazosin HCl,Prazosin HCl_Cap 1mg,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0AAANAN,Prazosin HCl,Prazosin HCl_Liq Spec 2mg/5ml,Prazosin Hydrochloride,,2 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BBAAAB,Hypovase,Hypovase_Tab 500mcg,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BBABAC,Hypovase,Hypovase_Tab 1mg,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BBACAD,Hypovase,Hypovase_Tab 2mg,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BBADAE,Hypovase,Hypovase_Tab 5mg,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BBAEAA,Hypovase,Hypovase B.D._S/Pack (500mcg/1mg Tab),Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BCAAAC,Minipress,Minipress_Tab 1mg,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BCABAD,Minipress,Minipress_Tab 2mg,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BCACAE,Minipress,Minipress_Tab 5mg,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BDAAAB,Kentovace,Kentovace_Tab 500mcg,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BDABAC,Kentovace,Kentovace_Tab 1mg,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BDACAE,Kentovace,Kentovace_Tab 5mg,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
0205040S0BDADAD,Kentovace,Kentovace_Tab 2mg,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
