,read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
675,p46r.,Univer,FERRARIS POCKETPEAK peak flow meter universal mouthpiece,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
676,p46v.,Univer,MICROPEAK PSA2200 peak flow meter universal mouthpiece,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
677,p8JH.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 12Ch UN51161210 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
678,p8JI.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 14Ch UN51161410 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
679,p8JJ.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 16Ch UN51161610 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
680,p8JK.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 18Ch UN51161810 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
681,p8JL.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 20Ch UN51162010 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
682,p8JM.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 22Ch UN51162210 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
683,p8JN.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 24Ch UN51162410 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
684,p8JO.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 26Ch UN51162610 2-way silicone elastomer coated male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
685,p8Ne.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 12Ch UN41151205 2-way all-silicone male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
686,p8Nf.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 14Ch UN41151405 2-way all-silicone male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
687,p8Ng.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 16Ch UN41151605 2-way all-silicone male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
688,p8Nh.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 18Ch UN41151805 2-way all-silicone male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
689,p8Ni.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 20Ch UN41152005 2-way all-silicone male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
690,p8Nj.,Univer,UNIVERSAL HOSPITAL SUPPLIES 10mL balloon 22Ch UN41152205 2-way all-silicone male length urethral Foley catheter,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
691,p8XF.,Uard,BARDEX IC AQUAFIL 10mL balloon 12Ch D236512S 2-way prefilled male length urethral catheter with hydrogel and Bacti-Guard silver alloy coating,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
692,p8XG.,Uard,BARDEX IC AQUAFIL 10mL balloon 14Ch D236514S 2-way prefilled male length urethral catheter with hydrogel and Bacti-Guard silver alloy coating,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
693,p8XH.,Uard,BARDEX IC AQUAFIL 10mL balloon 16Ch D236516S 2-way prefilled male length urethral catheter with hydrogel and Bacti-Guard silver alloy coating,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
694,p8XI.,Uard,BARDEX IC AQUAFIL 10mL balloon 18Ch D236518S 2-way prefilled male length urethral catheter with hydrogel and Bacti-Guard silver alloy coating,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
695,p8XJ.,Uard,BARDEX IC AQUAFIL 10mL balloon 20Ch D236520S 2-way prefilled male length urethral catheter with hydrogel and Bacti-Guard silver alloy coating,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
696,p8XK.,Uard,BARDEX IC AQUAFIL 10mL balloon 22Ch D236522S 2-way prefilled male length urethral catheter with hydrogel and Bacti-Guard silver alloy coating,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
697,ph24.,Uard,HYPOGUARD 1mL U100 insulin syringe,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
698,ph29.,Uard,HYPOGUARD 1mL U100 click/count syringe,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
699,ph2A.,Uard,HYPOGUARD 1mL U100 pre-set syringe,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
700,ph7G.,Univer,UNILET UNIVERSAL COMFORTOUCH 0.45mm(26gauge) lancet,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
701,ph7Z.,Uard,HYPOGUARD SUPREME 0.36mm(28gauge) lancet,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
702,ph9n.,Univer,MICRODOT UNIVERSAL 1.8mm(26gauge) lancet,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
703,ph9x.,Univer,MEDLANCE PLUS UNIVERSAL 1.8mm(21gauge) lancet,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
704,phD2.,Univer,ACTI-LANCE UNIVERSAL 1.8mm(23gauge) lancet,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
705,puh4.,Uard,HYPOGUARD GA blood glucose testing strip x50,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
706,puh6.,Uard,HYPOGUARD SUPREME blood glucose testing strip x50,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
707,puhL.,Uard,HYPOGUARD SUPREME SPECTRUM blood glucose testing strip x50,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
708,q5l..,Univer,UNIVERSAL HOSP LEG BAG,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
709,s223.,Univer,HOLLISTER UNIVERSAL 7760 stoma adhesive remover wipes,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
710,se55.,Uard,GUARDIAN IRRIGATOR 38mm/4803 x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
711,se56.,Uard,GUARDIAN IRRIGATOR 51mm/4804 x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
712,se57.,Uard,GUARDIAN IRRIGATOR 64mm/4805 x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
713,se58.,Uard,GUARDIAN IRRIGATOR 102mm/4806 x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
714,sgi1.,Uard,OSTOGUARD RMC1 barrier cream 60g,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
715,sgi2.,Uard,OSTOGUARD RMC2 barrier cream 2g sachets,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
716,sgi6.,Uard,OSTOGUARD RMC3 barrier film sachet 3mL,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
717,sgi7.,Uard,OSTOGUARD RMC4 barrier film 30mL,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
718,sgi8.,Uard,OSTOGUARD RMC5 barrier film 50mL,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
719,sj35.,Univer,HOLLISTER 9779 universal catheter access port,Verapamil Hydrochloride,,,calcium-channel blocker,True,False
720,sk42.,Uard,GUARDIAN ILEO 102mm/4606 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
721,sk47.,Uard,*GUARDIAN 25mm/4402 flanges x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
722,sk48.,Uard,*GUARDIAN 38mm/4403 flanges x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
723,sk49.,Uard,*GUARDIAN 51mm/4404 flanges x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
724,sk4a.,Uard,*GUARDIAN 64mm/4405 flanges x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
725,sk4A.,Uard,GUARDIAN 25mm/4522 mini opaque closed pouch+filter two-piece ostomy system,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
726,sk4b.,Uard,*GUARDIAN 102mm/4406 flangesx5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
727,sk4B.,Uard,GUARDIAN COLO 38mm/4523 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
728,sk4c.,Uard,GUARDIAN COLO 38mm/4513 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
729,sk4C.,Uard,GUARDIAN COLO 51mm/4524 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
730,sk4d.,Uard,GUARDIAN COLO 51mm/4514 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
731,sk4D.,Uard,GUARDIAN COLO 64mm/4525 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
732,sk4e.,Uard,GUARDIAN COLO 64mm/4515 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
733,sk4f.,Uard,GUARDIAN UROST 25mm/4702 pouch,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
734,sk4F.,Uard,*GUARDIAN 38mm/4303 stoma cap,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
735,sk4g.,Uard,GUARDIAN UROST 38mm/4703 pouch,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
736,sk4G.,Uard,*GUARDIAN 51mm/4304 stoma cap,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
737,sk4h.,Uard,GUARDIAN UROST 51mm/4704 pouch,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
738,sk4H.,Uard,*GUARDIAN 64mm/4305 stoma cap,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
739,sk4i.,Uard,GUARDIAN COLO 38mm/4503 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
740,sk4j.,Uard,GUARDIAN COLO 51mm/4504 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
741,sk4J.,Uard,*GUARDIAN 25mm/4422 flanges x5,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
742,sk4k.,Uard,GUARDIAN COLO 64mm/4505 pouches,Diltiazem Hydrochloride,,,calcium-channel blocker,True,False
